load_scenario,load_scenario_idx,horizon_step,load,p_mw,q_mvar
0,22338,0,0,-3.7419344955935685e-07,-0.0
0,22338,0,1,18.620417496493197,10.897663696104313
0,22338,0,2,62.5063457248893,12.607437035805697
0,22338,0,3,36.333455340713,-2.964445101020517
0,22338,0,4,4.5654556436680425,0.9611485565616932
0,22338,0,5,9.83025628726536,6.582760906650911
0,22338,0,6,-3.7419344955935685e-07,-0.0
0,22338,0,7,-3.7419344955935685e-07,-0.0
0,22338,0,8,22.47768214684645,12.648458428394953
0,22338,0,9,6.873226853102162,4.42941286088806
0,22338,0,10,2.484597726051927,1.277793116255277
0,22338,0,11,4.3922533172068805,1.1520664438575425
0,22338,0,12,12.341896876244208,5.302444583867882
0,22338,0,13,10.830491295722277,3.6343930522557977
1,22339,0,0,-3.7419344955935685e-07,-0.0
1,22339,0,1,18.487467197468742,10.81985407409461
1,22339,0,2,62.473459986795625,12.600804031306971
1,22339,0,3,37.39356996577588,-3.050939808923137
1,22339,0,4,4.8182483720505855,1.014368078326439
1,22339,0,5,10.037646130979129,6.7216380341378095
1,22339,0,6,-3.7419344955935685e-07,-0.0
1,22339,0,7,-3.7419344955935685e-07,-0.0
1,22339,0,8,22.205716391923804,12.495420071387633
1,22339,0,9,7.114247863417139,4.584737511979934
1,22339,0,10,2.4904357389949476,1.2807955229116874
1,22339,0,11,4.399799271656505,1.1540457105984276
1,22339,0,12,12.261491433924181,5.2679000234637225
1,22339,0,13,10.805008679610127,3.625841838795345
2,22340,0,0,-3.7419344955935685e-07,-0.0
2,22340,0,1,18.31048406923953,10.716274086605623
2,22340,0,2,62.256866019956355,12.557117350097354
2,22340,0,3,38.29699098545823,-3.124649892118977
2,22340,0,4,5.020282692333564,1.0569016194386451
2,22340,0,5,10.153457690226306,6.799190417562259
2,22340,0,6,-3.7419344955935685e-07,-0.0
2,22340,0,7,-3.7419344955935685e-07,-0.0
2,22340,0,8,22.221532039416743,12.504319723875184
2,22340,0,9,7.277837566872018,4.690161987539744
2,22340,0,10,2.473917267365202,1.2723003089306755
2,22340,0,11,4.304821371648907,1.1291334745308608
2,22340,0,12,12.269813322993155,5.271475353582244
2,22340,0,13,10.669284529387486,3.5802968219421096
3,22341,0,0,-3.7419344955935685e-07,-0.0
3,22341,0,1,17.922400722265166,10.489146966486986
3,22341,0,2,60.93304233319503,12.290104079943795
3,22341,0,3,38.61628845890928,-3.1507013596181213
3,22341,0,4,5.175682646977743,1.0896173993637355
3,22341,0,5,9.996196454374466,6.693881554268616
3,22341,0,6,-3.7419344955935685e-07,-0.0
3,22341,0,7,-3.7419344955935685e-07,-0.0
3,22341,0,8,22.014617295566925,12.387886342590201
3,22341,0,9,7.364757129183507,4.746176816584926
3,22341,0,10,2.4503614301354055,1.2601858783553515
3,22341,0,11,4.220570291642929,1.1070348305948667
3,22341,0,12,12.22971676983338,5.254248686298786
3,22341,0,13,10.568353609263633,3.5464273856589377
4,22342,0,0,-3.7419344955935685e-07,-0.0
4,22342,0,1,17.55139932809931,10.272017118288538
4,22342,0,2,59.56076922293327,12.013318633075711
4,22342,0,3,38.49216163531412,-3.140573857274583
4,22342,0,4,5.290186747934756,1.1137235258810014
4,22342,0,5,9.630192806949722,6.448789826082404
4,22342,0,6,-3.7419344955935685e-07,-0.0
4,22342,0,7,-3.7419344955935685e-07,-0.0
4,22342,0,8,21.591628683160113,12.149865631879928
4,22342,0,9,7.367453102648256,4.747914221706654
4,22342,0,10,2.41216511307271,1.2405420581516797
4,22342,0,11,4.095803629334511,1.0743091486779046
4,22342,0,12,12.103422552075562,5.19998894829913
4,22342,0,13,10.525089071688797,3.5319090844593277
5,22343,0,0,-3.7419344955935685e-07,-0.0
5,22343,0,1,17.071765037892213,9.991309492222632
5,22343,0,2,57.34768975451976,11.566943793374474
5,22343,0,3,37.021640190948105,-3.020594074156854
5,22343,0,4,5.213142106858896,1.0975036014439783
5,22343,0,5,9.162548470851913,6.135635136731192
5,22343,0,6,-3.7419344955935685e-07,-0.0
5,22343,0,7,-3.7419344955935685e-07,-0.0
5,22343,0,8,21.031249834802807,11.834533805346664
5,22343,0,9,7.191308074511646,4.634398536907505
5,22343,0,10,2.3723165463560267,1.2200485095545281
5,22343,0,11,3.9314591410018487,1.0312023976398292
5,22343,0,12,11.875750914686623,5.102174467050549
5,22343,0,13,10.352465371617827,3.47398166832813
6,22344,0,0,-3.7419344955935685e-07,-0.0
6,22344,0,1,16.695145804875942,9.770891784420483
6,22344,0,2,55.54074675318024,11.202486075482213
6,22344,0,3,34.70094373426863,-2.8312485473566453
6,22344,0,4,5.04627994151058,1.0623747245285433
6,22344,0,5,8.709057576681902,5.831958198670917
6,22344,0,6,-3.7419344955935685e-07,-0.0
6,22344,0,7,-3.7419344955935685e-07,-0.0
6,22344,0,8,20.641742678809322,11.615353507397788
6,22344,0,9,6.837676781924298,4.40650281501788
6,22344,0,10,2.310020593193812,1.1880105907853893
6,22344,0,11,3.79371510470531,0.9950728143489338
6,22344,0,12,11.619568022960825,4.992110706160947
6,22344,0,13,10.227850374470254,3.4321645551913607
7,22345,0,0,-3.7419344955935685e-07,-0.0
7,22345,0,1,16.703086892990484,9.775539333685675
7,22345,0,2,57.205199675393274,11.538203756183355
7,22345,0,3,33.09395720380407,-2.700134583573972
7,22345,0,4,4.862168310518386,1.0236143811617655
7,22345,0,5,8.369262004318342,5.604416520748891
7,22345,0,6,-3.7419344955935685e-07,-0.0
7,22345,0,7,-3.7419344955935685e-07,-0.0
7,22345,0,8,20.64027174284598,11.614525794279432
7,22345,0,9,6.513641018785026,4.197679767661461
7,22345,0,10,2.3236371950596126,1.1950134146020865
7,22345,0,11,3.9052939036698104,1.0243393845691307
7,22345,0,12,11.524510999658908,4.951271392446049
7,22345,0,13,10.356084091440097,3.475196003838959
8,22346,0,0,-3.7419344955935685e-07,-0.0
8,22346,0,1,16.491309654776774,9.651595973072121
8,22346,0,2,56.15494528240174,11.326369006004596
8,22346,0,3,31.329214403337968,-2.556149292322554
8,22346,0,4,4.656276420123701,0.9802687200260425
8,22346,0,5,7.884068772980474,5.279510339049425
8,22346,0,6,-3.7419344955935685e-07,-0.0
8,22346,0,7,-3.7419344955935685e-07,-0.0
8,22346,0,8,20.303893480915924,11.42524175536286
8,22346,0,9,6.198265235557122,3.994437596247923
8,22346,0,10,2.2604524760975453,1.1625184162787376
8,22346,0,11,3.8516587078613256,1.0102711364882166
8,22346,0,12,11.28891490747138,4.850052330617333
8,22346,0,13,10.204811235400062,3.4244333004698193
9,22347,0,0,-3.7419344955935685e-07,-0.0
9,22347,0,1,15.79717658485858,9.245352194825069
9,22347,0,2,51.83411247659933,10.454863450694132
9,22347,0,3,28.314587878940493,-2.310186040331965
9,22347,0,4,4.276313920864896,0.9002766149189256
9,22347,0,5,7.388035093209579,4.947344928488558
9,22347,0,6,-3.7419344955935685e-07,-0.0
9,22347,0,7,-3.7419344955935685e-07,-0.0
9,22347,0,8,19.11051085980928,10.753711195689291
9,22347,0,9,5.610898100306752,3.615912109086573
9,22347,0,10,2.1195335841783924,1.0900458432917448
9,22347,0,11,3.5693298630803634,0.9362176690046855
9,22347,0,12,10.775381342836743,4.629423095440972
