load_scenario,load_scenario_idx,horizon_step,load,p_mw,q_mvar
0,22338,0,0,0.013716228772578276,0.0
0,22338,0,1,18.513156754223605,10.834888975974184
0,22338,0,2,66.56986037471674,13.427041901482143
0,22338,0,3,36.11024673038173,-2.946233519842861
0,22338,0,4,4.494863652201573,0.9462870846740155
0,22338,0,5,9.797945879578567,6.561124472932077
0,22338,0,6,0.013716228772578276,0.0
0,22338,0,7,0.013716228772578276,0.0
0,22338,0,8,23.041620203217825,12.965793063505624
0,22338,0,9,6.845100238971064,4.411286820670241
0,22338,0,10,2.5849586293066835,1.3294072950720088
0,22338,0,11,4.630262830038644,1.2144951685347265
0,22338,0,12,12.327070963467952,5.296074932452898
0,22338,0,13,11.34520912098568,3.8071171546931817
1,22339,0,0,0.00581905986356368,0.0
1,22339,0,1,18.803635485467424,11.004892657393377
1,22339,0,2,67.49468110458616,13.61357686822863
1,22339,0,3,36.86837198485648,-3.008088927634734
1,22339,0,4,4.793215866029063,1.00909807705875
1,22339,0,5,9.767047854628155,6.540433831224211
1,22339,0,6,0.00581905986356368,0.0
1,22339,0,7,0.00581905986356368,0.0
1,22339,0,8,22.57472868160722,12.7030676649044
1,22339,0,9,6.963837382274987,4.4878063130216574
1,22339,0,10,2.5413113934778453,1.3069601452171777
1,22339,0,11,4.55821050873943,1.195596199013621
1,22339,0,12,12.28939397697156,5.279887782698893
1,22339,0,13,11.15986121953135,3.7449198723259567
2,22340,0,0,0.00581905986356368,0.0
2,22340,0,1,18.67892994332522,10.931908307844713
2,22340,0,2,65.8610115593282,13.284068148909085
2,22340,0,3,38.17233676370665,-3.1144793593819236
2,22340,0,4,4.9655657114017995,1.0453822550319578
2,22340,0,5,9.960490395850345,6.669971247221214
2,22340,0,6,0.00581905986356368,0.0
2,22340,0,7,0.00581905986356368,0.0
2,22340,0,8,22.915009392280815,12.894547658029206
2,22340,0,9,7.130078746400967,4.594939636569512
2,22340,0,10,2.569740165273565,1.321580656426405
2,22340,0,11,4.4905098095243945,1.1778386385637756
2,22340,0,12,12.230887643076922,5.254751728136752
2,22340,0,13,11.059683792529295,3.7113032860836563
3,22341,0,0,0.006423061159820165,0.0
3,22341,0,1,18.28708928376276,10.702582207547792
3,22341,0,2,65.32679017753372,13.176316490160728
3,22341,0,3,38.842351848694705,-3.169145862131995
3,22341,0,4,5.083934051218149,1.0703019055196104
3,22341,0,5,9.885420890073455,6.619701488888475
3,22341,0,6,0.006423061159820165,0.0
3,22341,0,7,0.006423061159820165,0.0
3,22341,0,8,22.051093606845882,12.408411995716666
3,22341,0,9,7.23652657288943,4.663539346973187
3,22341,0,10,2.535841332718859,1.3041469711125562
3,22341,0,11,4.383591957517399,1.1497946118078424
3,22341,0,12,12.136158811101511,5.214053415139909
3,22341,0,13,10.871536370973738,3.648166567440852
4,22342,0,0,0.006360144358126263,0.0
4,22342,0,1,17.89122416948493,10.47090078121929
4,22342,0,2,63.82400534454193,12.873207022784465
4,22342,0,3,38.42040364902782,-3.13471912617591
4,22342,0,4,5.124068679018332,1.0787513008459646
4,22342,0,5,9.533150223386938,6.383805953160897
4,22342,0,6,0.006360144358126263,0.0
