bus_id,Latitude,Longitude,voltage,slack,center_id,shifted,timestamp,timestamp_cdt,load
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 06:30:00+00:00,2022-01-01 00:30:00-06:00,93.66218212682057
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 07:30:00+00:00,2022-01-01 01:30:00-06:00,92.41735694483835
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 08:30:00+00:00,2022-01-01 02:30:00-06:00,92.13460538875064
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 09:30:00+00:00,2022-01-01 03:30:00-06:00,91.70205837951141
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 10:30:00+00:00,2022-01-01 04:30:00-06:00,91.6250194246655
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 11:30:00+00:00,2022-01-01 05:30:00-06:00,91.52623083208707
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 12:30:00+00:00,2022-01-01 06:30:00-06:00,92.78208229459207
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 13:30:00+00:00,2022-01-01 07:30:00-06:00,93.86540205646331
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 14:30:00+00:00,2022-01-01 08:30:00-06:00,94.62114221832388
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 15:30:00+00:00,2022-01-01 09:30:00-06:00,97.10838125614401
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 16:30:00+00:00,2022-01-01 10:30:00-06:00,98.51514305159047
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 17:30:00+00:00,2022-01-01 11:30:00-06:00,99.06734464556834
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 18:30:00+00:00,2022-01-01 12:30:00-06:00,98.74234796683807
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 19:30:00+00:00,2022-01-01 13:30:00-06:00,98.32337799841912
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 20:30:00+00:00,2022-01-01 14:30:00-06:00,97.76727004430727
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 21:30:00+00:00,2022-01-01 15:30:00-06:00,97.50601333187277
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 22:30:00+00:00,2022-01-01 16:30:00-06:00,97.50348892726488
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-01 23:30:00+00:00,2022-01-01 17:30:00-06:00,97.82347668144236
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 00:30:00+00:00,2022-01-01 18:30:00-06:00,100.2174364587005
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 01:30:00+00:00,2022-01-01 19:30:00-06:00,101.39245081195239
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 02:30:00+00:00,2022-01-01 20:30:00-06:00,102.06912418748564
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 03:30:00+00:00,2022-01-01 21:30:00-06:00,103.69167092921415
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 04:30:00+00:00,2022-01-01 22:30:00-06:00,103.65273497276786
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 05:30:00+00:00,2022-01-01 23:30:00-06:00,103.00580692848403
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 06:30:00+00:00,2022-01-02 00:30:00-06:00,102.84622065497113
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 07:30:00+00:00,2022-01-02 01:30:00-06:00,100.81436313412173
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 08:30:00+00:00,2022-01-02 02:30:00-06:00,100.6360234644122
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 09:30:00+00:00,2022-01-02 03:30:00-06:00,100.73130569266235
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 10:30:00+00:00,2022-01-02 04:30:00-06:00,101.105696655394
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 11:30:00+00:00,2022-01-02 05:30:00-06:00,101.4263748788087
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 12:30:00+00:00,2022-01-02 06:30:00-06:00,102.02611354733317
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 13:30:00+00:00,2022-01-02 07:30:00-06:00,102.23454302232463
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 14:30:00+00:00,2022-01-02 08:30:00-06:00,101.4254521635234
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 15:30:00+00:00,2022-01-02 09:30:00-06:00,101.20019275427671
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 16:30:00+00:00,2022-01-02 10:30:00-06:00,100.02548020652979
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 17:30:00+00:00,2022-01-02 11:30:00-06:00,98.35529547875946
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 18:30:00+00:00,2022-01-02 12:30:00-06:00,97.1076943272548
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 19:30:00+00:00,2022-01-02 13:30:00-06:00,96.12903161005981
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 20:30:00+00:00,2022-01-02 14:30:00-06:00,95.37892976340737
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 21:30:00+00:00,2022-01-02 15:30:00-06:00,95.40927146895652
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 22:30:00+00:00,2022-01-02 16:30:00-06:00,96.00535057499454
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-02 23:30:00+00:00,2022-01-02 17:30:00-06:00,98.51256293821748
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 00:30:00+00:00,2022-01-02 18:30:00-06:00,103.56680958355616
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 01:30:00+00:00,2022-01-02 19:30:00-06:00,104.8624366296679
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 02:30:00+00:00,2022-01-02 20:30:00-06:00,104.79351125949903
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 03:30:00+00:00,2022-01-02 21:30:00-06:00,105.10847919427603
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 04:30:00+00:00,2022-01-02 22:30:00-06:00,103.2428778367416
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 05:30:00+00:00,2022-01-02 23:30:00-06:00,100.86647901390323
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 06:30:00+00:00,2022-01-03 00:30:00-06:00,99.06169945168523
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 07:30:00+00:00,2022-01-03 01:30:00-06:00,98.31443659428359
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 08:30:00+00:00,2022-01-03 02:30:00-06:00,97.6336667538089
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 09:30:00+00:00,2022-01-03 03:30:00-06:00,97.64574380067924
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 10:30:00+00:00,2022-01-03 04:30:00-06:00,98.38781157488187
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 11:30:00+00:00,2022-01-03 05:30:00-06:00,100.46980733262542
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 12:30:00+00:00,2022-01-03 06:30:00-06:00,103.11023555230936
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 13:30:00+00:00,2022-01-03 07:30:00-06:00,105.08179870205134
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 14:30:00+00:00,2022-01-03 08:30:00-06:00,103.86314084791543
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 15:30:00+00:00,2022-01-03 09:30:00-06:00,102.77956465094901
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 16:30:00+00:00,2022-01-03 10:30:00-06:00,101.20482383126631
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 17:30:00+00:00,2022-01-03 11:30:00-06:00,99.89364248083051
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 18:30:00+00:00,2022-01-03 12:30:00-06:00,98.43579635987625
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 19:30:00+00:00,2022-01-03 13:30:00-06:00,97.8972147101507
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 20:30:00+00:00,2022-01-03 14:30:00-06:00,97.53913963793384
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 21:30:00+00:00,2022-01-03 15:30:00-06:00,97.68246091993834
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 22:30:00+00:00,2022-01-03 16:30:00-06:00,97.74818063937408
0,31.906736,-102.262348,115.0,NO,0,False,2022-01-03 23:30:00+00:00,2022-01-03 17:30:00-06:00,99.15633457805171
